Melbourne City Mission,"MCM works closely with the most vulnerable and disadvantaged in our society, including those who are disabled, young persons, the homeless, and financially disadvantaged. MCM has both one-off and continuous volunteering positions that aid elderly and socially isolated young persons.",https://www.melbournecitymission.org.au/
headspace,headspace has one mission: to improve the health and the happiness of the world through meditation and mindfulness exercises. They are available 24/7 both online and in person for anyone who is in need.,https://headspace.org.au/
Murdoch Children’s Research Institute,Murdoch Children's Research Institute is the largest child health research institute in Australia and one of the top three worldwide and specialises in child health. They study what factors influence child health at the population level both locally and globally.,https://www.mcri.edu.au/
Lifeline,"Lifeline provide 24/7 crisis support and suicide prevention services to anyone in need. They provide educational material, services and run volunteer campaigns to help raise funds for their lifeline and support the local community.",https://www.lifeline.org.au/
Beyond Blue,"Beyond Blue provides educational services to equip all of Australia with the knowledge and skills to protect their mental health, and to support those around them. They host various campaigns and events to help spread awareness of mental health and wellbeing.",https://www.beyondblue.org.au/
SANE,"SANE Australia is a national mental health charity working to support four million Australians affected by complex mental illness. SANE’s work includes mental health awareness, online peer support and information, stigma reduction, specialist helpline support, research, and advocacy.",https://www.sane.org/
Mind,"Mind Australia Limited is one of the country's leading community-managed specialist mental health service providers. They have been supporting people dealing with the day-to-day impacts of mental illness, as well as their families, friends, and carers for over 40 years.",https://www.mindaustralia.org.au/
Cancer Council Victoria,"Cancer Council Victoria is a not-for-profit organisation which aims to reduce the impact of cancer in Victoria. They conduct and fund cancer research, act as an advocate for cancer patients and their families, and run cancer prevention, education, and support programs.",https://www.cancervic.org.au/
Royal Children’s Hospital,"The RCH is a major specialist paediatric hospital in Victoria and their care extends to children across the country. They provide a full range of clinical services, tertiary care, and health promotion and prevention programs for children and young people.",https://www.rch.org.au/home/
Royal Women’s Hospital,"The RWH is central to the Victorian health system, particularly with respect to advocating for women's health and leading innovation for the health and well-being of women and newborns. They host various volunteer programs that aid both the hospital and their patients.",https://www.thewomens.org.au/
Peter MacCallum Cancer Centre,"Peter MacCallum Cancer Centre is internationally recognised for helping to lead the search for cancer cures. Their researchers are dedicated to preventing, treating and curing all types of cancer.",https://www.petermac.org/
Refugee Migrant Children Center,"RMCC partners with family, school, and settlement agencies and their community to altogether tackle the unique and complex barriers that refugee migrant children face settling in Australia.",https://rmccaustralia.org.au/
Australian Red Cross,The Australian Red Cross work to alleviate suffering during wars and conflict and promote the education of the laws of war. They work to assist our most vulnerable community members – no matter their circumstances.,https://www.redcross.org.au/
Wesley Uniting,Wesley Mission Victoria helps empower people to improve their lives by providing them with community based services and support across multiple stages of life.,https://www.unitingwesley.org.au/
Anxiety Disorder Association of Victoria,"ADAVIC is a not-for-profit, self-funded organisation. They provide support, information and resources to individuals suffering from or affected by anxiety, depression, and related issues. They act as an entry-level service with ""grass-roots"" support and resources.",https://www.adavic.org.au/
Community Health Advancement and Student Engagement,CHASE is an innovative not-for-profit organisation in which mentors partner with secondary schools and community leaders. CHASE works to improve health literacy amongst disadvantaged students through education and mentoring.,https://www.facebook.com/CHASEmelb/
Habitat for Humanity,"Habitat for Humanity began as a grass-roots effort and has since grown to become a leading global non-profit working in more than 70 countries. They help vulnerable communities through financial support, volunteering or adding a voice to support affordable housing.",https://habitat.org.au/
